CMDLINE /usr/local/bin/python test.py
MEM 25.121094 1689223458.3796
MEM 25.121094 1689223458.4803
MEM 25.121094 1689223458.5808
MEM 25.121094 1689223458.6813
MEM 25.425781 1689223458.7818
MEM 25.425781 1689223458.8823
MEM 25.425781 1689223458.9830
MEM 25.425781 1689223459.0835
MEM 25.679688 1689223459.1842
MEM 25.679688 1689223459.2848
MEM 25.679688 1689223459.3853
MEM 25.937500 1689223459.4861
MEM 25.937500 1689223459.5865
MEM 25.937500 1689223459.6872
MEM 25.937500 1689223459.7880
MEM 26.199219 1689223459.8883
MEM 26.199219 1689223459.9887
MEM 26.199219 1689223460.0894
MEM 26.199219 1689223460.1921
MEM 26.453125 1689223460.2932
MEM 26.453125 1689223460.3939
MEM 26.453125 1689223460.4944
MEM 26.453125 1689223460.5949
MEM 26.453125 1689223460.6954
MEM 26.710938 1689223460.7959
MEM 26.710938 1689223460.8964
MEM 26.710938 1689223460.9971
MEM 26.710938 1689223461.0977
MEM 26.710938 1689223461.1982
MEM 26.710938 1689223461.2988
MEM 26.710938 1689223461.3994
MEM 26.968750 1689223461.5000
MEM 26.968750 1689223461.6004
MEM 26.968750 1689223461.7011
MEM 27.226562 1689223461.8015
MEM 27.226562 1689223461.9020
MEM 27.226562 1689223462.0025
MEM 27.226562 1689223462.1031
MEM 27.484375 1689223462.2036
MEM 27.484375 1689223462.3040
MEM 27.484375 1689223462.4046
MEM 27.484375 1689223462.5051
MEM 27.742188 1689223462.6056
MEM 27.742188 1689223462.7062
MEM 27.742188 1689223462.8066
MEM 28.000000 1689223462.9073
MEM 28.000000 1689223463.0078
MEM 28.000000 1689223463.1084
MEM 28.000000 1689223463.2092
MEM 28.000000 1689223463.3098
MEM 28.000000 1689223463.4175
MEM 28.257812 1689223463.5189
MEM 28.257812 1689223463.6194
MEM 28.257812 1689223463.7199
MEM 28.257812 1689223463.8203
MEM 28.257812 1689223463.9208
MEM 28.515625 1689223464.0211
MEM 28.515625 1689223464.1215
MEM 28.515625 1689223464.2222
MEM 28.515625 1689223464.3226
MEM 28.773438 1689223464.4231
MEM 28.773438 1689223464.5236
MEM 28.773438 1689223464.6243
MEM 29.031250 1689223464.7252
MEM 29.031250 1689223464.8260
MEM 29.152344 1689223464.9266
MEM 29.152344 1689223465.0273
MEM 29.152344 1689223465.1278
MEM 29.152344 1689223465.2283
MEM 29.406250 1689223465.3375
MEM 29.406250 1689223465.4380
MEM 29.406250 1689223465.5386
MEM 29.406250 1689223465.6390
MEM 29.406250 1689223465.7396
MEM 29.664062 1689223465.8402
MEM 29.664062 1689223465.9407
MEM 29.664062 1689223466.0412
MEM 29.664062 1689223466.1418
MEM 29.664062 1689223466.2423
MEM 29.921875 1689223466.3435
MEM 29.921875 1689223466.4444
MEM 29.921875 1689223466.5453
MEM 29.921875 1689223466.6460
MEM 29.921875 1689223466.7464
MEM 29.921875 1689223466.8472
MEM 30.179688 1689223466.9482
MEM 30.179688 1689223467.0486
MEM 30.179688 1689223467.1497
MEM 30.179688 1689223467.2501
MEM 30.179688 1689223467.3507
MEM 30.394531 1689223467.4512
MEM 30.394531 1689223467.5518
MEM 30.394531 1689223467.6522
MEM 30.648438 1689223467.7527
MEM 30.648438 1689223467.8533
MEM 30.648438 1689223467.9551
MEM 30.648438 1689223468.0557
MEM 30.648438 1689223468.1563
MEM 30.906250 1689223468.2569
MEM 30.906250 1689223468.3574
MEM 30.906250 1689223468.4584
MEM 30.906250 1689223468.5588
MEM 30.906250 1689223468.6593
